scenario,algorithm,instance,success,path_length,length_ratio,curvature,max_curvature,drive_time_curved,comp_time,parameter,value
blocked_road,APF,3,0,2800.0,18.449,3.3897,8.3522,2091.4957,0.49627,goal,0
blocked_road,RRT*,3,1,148.282,0.977,0.036,1.1469,24.957,0.11802,goal,0
blocked_road,RRT*+Bezier,3,1,148.282,0.977,0.036,1.1469,24.957,0.13716,goal,0
blocked_road,Hybrid,3,1,208.606,1.3745,0.4976,4.4874,66.1166,0.10267,goal,0
blocked_road,Modified,3,1,202.72,1.3357,0.2785,5.6121,52.1382,0.25883,goal,0
blocked_road,APF,4,0,2800.0,18.8121,4.0786,10.491,1793.0558,0.51403,goal,0
blocked_road,RRT*,4,1,147.268,0.9894,0.0501,1.2483,26.8025,3.37771,goal,0
blocked_road,RRT*+Bezier,4,1,147.268,0.9894,0.0501,1.2483,26.8025,3.38871,goal,0
blocked_road,Hybrid,4,1,221.91,1.4909,0.4676,3.5054,66.9189,1.0622,goal,0
blocked_road,Modified,4,1,219.713,1.4762,0.2283,6.4415,56.4732,0.60113,goal,0
blocked_road,APF,5,0,2800.0,18.8121,3.8289,9.818,1853.1715,0.51731,goal,0
blocked_road,RRT*,5,1,155.328,1.0436,0.0405,1.3946,26.598,0.62113,goal,0
blocked_road,RRT*+Bezier,5,1,155.328,1.0436,0.0405,1.3946,26.598,0.66322,goal,0
blocked_road,Hybrid,5,1,213.364,1.4335,0.4114,5.1271,60.8572,4.92307,goal,0
blocked_road,Modified,5,1,215.649,1.4489,0.2399,8.117,52.7367,0.81813,goal,0
blocked_road,APF,6,0,2800.0,18.8864,3.2472,7.8224,2201.0221,0.51701,goal,0
blocked_road,RRT*,6,1,151.909,1.0246,0.0377,1.0949,25.782,0.72768,goal,0
blocked_road,RRT*+Bezier,6,1,151.909,1.0246,0.0377,1.0949,25.782,0.71947,goal,0
blocked_road,Hybrid,6,1,195.04,1.3156,0.2294,5.3178,53.1409,1.57286,goal,0
blocked_road,Modified,6,1,164.809,1.1117,0.1512,8.5484,39.5455,2.24483,goal,0
blocked_road,APF,7,1,202.3,1.3645,1.3563,8.8617,80.5203,0.04275,goal,0
blocked_road,RRT*,7,1,153.895,1.038,0.0473,1.1501,27.6511,0.86115,goal,0
blocked_road,RRT*+Bezier,7,1,153.895,1.038,0.0473,1.1501,27.6511,0.87153,goal,0
blocked_road,Hybrid,7,1,164.638,1.1105,0.5253,1.8681,52.5548,0.23233,goal,0
blocked_road,Modified,7,1,177.864,1.1997,0.4708,8.1556,52.1492,0.64987,goal,0
blocked_road,APF,8,0,37.8,0.252,0.1561,0.7555,9.2901,0.01403,goal,0
blocked_road,RRT*,8,1,149.932,0.9995,0.0394,0.7563,26.0238,0.5553,goal,0
blocked_road,RRT*+Bezier,8,1,149.932,0.9995,0.0394,0.7563,26.0238,0.5718,goal,0
blocked_road,Hybrid,8,1,177.141,1.1808,0.111,2.7146,39.4882,1.20443,goal,0
blocked_road,Modified,8,1,157.151,1.0476,0.0564,1.1209,28.6993,0.14604,goal,0
blocked_road,APF,9,0,2800.0,18.8121,4.412,10.472,1715.0691,0.49806,goal,0
blocked_road,RRT*,9,1,151.647,1.0189,0.0401,1.4993,26.3945,0.83625,goal,0
blocked_road,RRT*+Bezier,9,1,151.647,1.0189,0.0401,1.4993,26.3945,0.84189,goal,0
blocked_road,Hybrid,9,1,161.706,1.0864,0.1979,7.365,36.0046,0.94859,goal,0
blocked_road,Modified,9,1,168.04,1.129,0.2021,9.9404,37.4286,1.8168,goal,0
blocked_road,APF,10,0,46.9,0.3102,0.3221,0.8005,13.0722,0.0117,goal,0
blocked_road,RRT*,10,1,188.186,1.2447,0.048,1.2114,34.3292,0.29733,goal,0
blocked_road,RRT*+Bezier,10,1,187.806,1.2422,0.0444,1.1821,32.5697,0.31218,goal,0
blocked_road,Hybrid,10,1,156.641,1.0361,0.1191,0.9269,30.5923,0.21652,goal,0
blocked_road,Modified,10,1,154.17,1.0198,0.0498,0.9346,24.6324,0.3391,goal,0
blocked_road,APF,11,0,46.2,0.3068,0.3716,0.7198,12.5187,0.01443,goal,0
blocked_road,RRT*,11,1,151.047,1.003,0.0492,1.1005,27.2453,0.41076,goal,0
blocked_road,RRT*+Bezier,11,1,151.047,1.003,0.0492,1.1005,27.2453,0.42753,goal,0
blocked_road,Hybrid,11,1,163.643,1.0866,0.1523,3.9851,36.0627,0.35359,goal,0
blocked_road,Modified,11,1,157.381,1.045,0.0805,2.0779,29.1439,0.54044,goal,0
blocked_road,APF,12,0,2800.0,18.7383,3.5396,7.946,1984.7159,0.50966,goal,0
blocked_road,RRT*,12,1,156.825,1.0495,0.0257,1.2631,23.9695,1.26346,goal,0
blocked_road,RRT*+Bezier,12,1,156.825,1.0495,0.0257,1.2631,23.9695,1.25752,goal,0
blocked_road,Hybrid,12,1,203.385,1.3611,0.2873,3.4049,55.8263,1.60075,goal,0
blocked_road,Modified,12,1,198.089,1.3257,0.1446,2.0692,46.7804,0.55087,goal,0
blocked_road,APF,13,1,184.1,1.2369,0.9834,3.9796,69.1144,0.03547,goal,0
blocked_road,RRT*,13,1,148.828,0.9999,0.042,1.0895,25.6401,3.14854,goal,0
blocked_road,RRT*+Bezier,13,1,148.828,0.9999,0.042,1.0895,25.6401,3.15642,goal,0
blocked_road,Hybrid,13,1,164.261,1.1036,0.4688,1.6714,51.7679,0.23581,goal,0
blocked_road,Modified,13,1,161.615,1.0858,0.4222,3.6734,42.0516,0.13662,goal,0
blocked_road,APF,14,0,2800.0,18.1685,3.7776,9.7672,1966.9582,0.50762,goal,0
blocked_road,RRT*,14,1,152.785,0.9914,0.038,1.3218,25.9639,1.05747,goal,0
blocked_road,RRT*+Bezier,14,1,152.785,0.9914,0.038,1.3218,25.9639,1.0725,goal,0
blocked_road,Hybrid,14,1,210.602,1.3665,0.333,8.4162,56.5812,0.27923,goal,0
blocked_road,Modified,14,1,206.812,1.342,0.1986,8.3598,47.5281,0.317,goal,0
blocked_road,APF,15,0,2800.0,18.0997,3.7645,9.4995,1870.7679,0.5001,goal,0
blocked_road,RRT*,15,1,156.12,1.0092,0.0306,1.1149,23.9888,0.90674,goal,0
blocked_road,RRT*+Bezier,15,1,156.12,1.0092,0.0306,1.1149,23.9888,0.93887,goal,0
blocked_road,Hybrid,15,1,213.612,1.3808,0.4819,8.0381,60.4584,1.04424,goal,0
blocked_road,Modified,15,1,247.482,1.5998,0.1551,6.5831,53.1057,1.15053,goal,0
blocked_road,APF,16,0,2800.0,18.5205,4.0515,10.2962,1800.3321,0.51274,goal,0
blocked_road,RRT*,16,1,153.139,1.0129,0.0512,1.1892,29.2011,0.90424,goal,0
blocked_road,RRT*+Bezier,16,1,153.139,1.0129,0.0512,1.1892,29.2011,0.94162,goal,0
blocked_road,Hybrid,16,1,210.557,1.3927,0.3996,2.6802,60.1008,0.72714,goal,0
blocked_road,Modified,16,1,203.393,1.3453,0.2364,6.0365,48.3989,0.16323,goal,0
blocked_road,APF,17,0,46.2,0.308,0.3782,0.7361,12.6264,0.01568,goal,0
blocked_road,RRT*,17,1,154.701,1.0313,0.0517,0.9322,28.6898,0.41277,goal,0
blocked_road,RRT*+Bezier,17,1,154.701,1.0313,0.0517,0.9322,28.6898,0.43181,goal,0
blocked_road,Hybrid,17,1,185.242,1.2348,0.1492,4.5301,38.6188,0.39445,goal,0
blocked_road,Modified,17,1,157.335,1.0488,0.0626,1.0286,29.1162,0.34455,goal,0
blocked_road,APF,18,1,196.0,1.3273,1.2697,6.7848,74.9995,0.03965,goal,0
blocked_road,RRT*,18,1,149.014,1.0091,0.0342,1.175,24.461,0.30239,goal,0
blocked_road,RRT*+Bezier,18,1,149.014,1.0091,0.0342,1.175,24.461,0.32722,goal,0
blocked_road,Hybrid,18,1,167.276,1.1328,0.5145,1.5911,51.813,0.12672,goal,0
blocked_road,Modified,18,1,159.596,1.0808,0.4213,6.5311,44.0248,0.1567,goal,0
blocked_road,APF,19,0,2800.0,18.449,4.0496,10.386,1836.6622,0.48437,goal,0
blocked_road,RRT*,19,1,154.415,1.0174,0.0302,1.3027,24.4027,0.11471,goal,0
blocked_road,RRT*+Bezier,19,1,154.415,1.0174,0.0302,1.3027,24.4027,0.1233,goal,0
blocked_road,Hybrid,19,1,209.925,1.3832,0.4294,4.5126,60.7975,0.23145,goal,0
blocked_road,Modified,19,1,204.255,1.3458,0.2657,6.0647,47.624,0.65286,goal,0
normal_city,APF,0,1,175.7,1.2375,1.103,2.4439,73.9379,0.03944,goal,1
normal_city,RRT*,0,1,147.909,1.0417,0.046,1.5556,26.3754,0.30274,goal,1
