instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
17,0.5,RRT* replan,1,1,0,142,3,0.15612,22411,99.4
17,0.5,Modified plan once,0,0,1,63,0,0.01319,342,44.1
17,0.5,Modified replan,1,1,0,115,4,0.0584,1292,80.5
17,1.0,APF reactive,1,1,0,119,0,0.0137,357,83.3
17,1.0,RRT* plan once,0,0,1,57,0,0.0523,7799,39.9
17,1.0,RRT* replan,1,1,0,146,3,0.14542,20862,102.2
17,1.0,Modified plan once,0,0,1,56,0,0.01315,342,39.2
17,1.0,Modified replan,0,1,1,116,7,0.10425,2083,81.2
17,1.5,APF reactive,1,1,0,115,0,0.01382,345,80.5
17,1.5,RRT* plan once,0,0,1,64,0,0.05606,7799,44.8
17,1.5,RRT* replan,0,0,1,68,8,0.67493,61850,47.6
17,1.5,Modified plan once,1,1,0,114,0,0.01319,342,79.8
17,1.5,Modified replan,1,1,0,114,5,0.09188,4458,79.8
18,0.5,APF reactive,1,1,0,126,0,0.01477,378,88.2
18,0.5,RRT* plan once,0,0,1,51,0,0.04811,7271,35.7
18,0.5,RRT* replan,0,1,1,167,12,0.48879,69611,116.9
18,0.5,Modified plan once,0,0,1,50,0,0.01872,418,35.0
18,0.5,Modified replan,0,1,1,142,2,0.0876,5523,99.4
18,1.0,APF reactive,0,0,1,71,0,0.00952,213,49.7
18,1.0,RRT* plan once,0,0,1,48,0,0.05128,7271,33.6
18,1.0,RRT* replan,0,1,1,137,7,0.30388,41717,95.9
18,1.0,Modified plan once,0,0,1,47,0,0.01864,418,32.9
18,1.0,Modified replan,0,0,1,56,11,0.92156,56891,39.2
18,1.5,APF reactive,0,0,1,53,0,0.00744,159,37.1
18,1.5,RRT* plan once,0,0,1,55,0,0.05036,7271,38.5
18,1.5,RRT* replan,0,1,1,120,11,0.32113,48026,84.0
18,1.5,Modified plan once,0,0,1,52,0,0.01854,418,36.4
18,1.5,Modified replan,0,0,1,54,6,0.70371,41167,37.8
19,0.5,APF reactive,1,1,0,114,0,0.01327,342,79.8
19,0.5,RRT* plan once,1,1,0,118,0,0.05091,7442,82.6
19,0.5,RRT* replan,1,1,0,126,1,0.06838,10207,88.2
19,0.5,Modified plan once,1,1,0,114,0,0.0135,342,79.8
19,0.5,Modified replan,1,1,0,114,2,0.03632,805,79.8
19,1.0,APF reactive,0,0,1,75,0,0.00933,225,52.5
19,1.0,RRT* plan once,0,0,1,54,0,0.05086,7442,37.8
19,1.0,RRT* replan,0,1,1,187,42,1.9755,274700,130.9
19,1.0,Modified plan once,0,0,1,53,0,0.01302,342,37.1
19,1.0,Modified replan,0,0,1,64,10,0.76096,47277,44.8
19,1.5,APF reactive,1,1,0,114,0,0.01334,342,79.8
19,1.5,RRT* plan once,1,1,0,118,0,0.05022,7442,82.6
19,1.5,RRT* replan,1,1,0,121,6,0.23786,36029,84.7
19,1.5,Modified plan once,1,1,0,114,0,0.01331,342,79.8
19,1.5,Modified replan,1,1,0,116,6,0.15983,8095,81.2
20,0.5,APF reactive,1,1,0,115,0,0.0136,345,80.5
20,0.5,RRT* plan once,0,0,1,50,0,0.06569,9080,35.0
20,0.5,RRT* replan,0,1,1,124,9,0.32432,47932,86.8
20,0.5,Modified plan once,1,1,0,114,0,0.01868,415,79.8
20,0.5,Modified replan,1,1,0,114,3,0.0457,1037,79.8
20,1.0,APF reactive,1,1,0,120,0,0.01424,360,84.0
20,1.0,RRT* plan once,0,0,1,50,0,0.06547,9080,35.0
20,1.0,RRT* replan,0,0,1,79,19,0.77652,89499,55.3
20,1.0,Modified plan once,0,0,1,66,0,0.01905,415,46.2
20,1.0,Modified replan,0,1,1,115,10,0.10089,2164,80.5
20,1.5,APF reactive,0,0,1,49,0,0.00678,147,34.3
20,1.5,RRT* plan once,0,0,1,57,0,0.06494,9080,39.9
20,1.5,RRT* replan,0,0,1,53,10,0.65799,69858,37.1
20,1.5,Modified plan once,0,0,1,48,0,0.01924,415,33.6
20,1.5,Modified replan,0,0,1,51,6,0.72951,44520,35.7
21,0.5,APF reactive,0,0,0,1500,0,0.2155,4500,1050.0
21,0.5,RRT* plan once,0,0,1,46,0,0.03923,5702,32.2
21,0.5,RRT* replan,0,1,1,135,7,0.34217,50407,94.5
21,0.5,Modified plan once,1,1,0,119,0,0.04777,2895,83.3
21,0.5,Modified replan,1,1,0,123,3,0.06738,1633,86.1
21,1.0,APF reactive,0,0,0,1500,0,0.21789,4500,1050.0
21,1.0,RRT* plan once,1,1,0,116,0,0.03934,5702,81.2
21,1.0,RRT* replan,0,1,1,200,30,1.46609,209523,140.0
21,1.0,Modified plan once,0,0,1,63,0,0.04781,2895,44.1
21,1.0,Modified replan,0,0,1,66,6,0.79024,50624,46.2
21,1.5,APF reactive,0,0,0,1500,0,0.216,4500,1050.0
21,1.5,RRT* plan once,0,0,1,60,0,0.0394,5702,42.0
21,1.5,RRT* replan,1,1,0,125,5,0.2208,32615,87.5
21,1.5,Modified plan once,0,0,1,61,0,0.04955,2895,42.7
21,1.5,Modified replan,0,0,1,64,6,0.78636,58522,44.8
22,0.5,APF reactive,0,0,1,51,0,0.00657,153,35.7
22,0.5,RRT* plan once,0,0,1,54,0,0.06233,9066,37.8
22,0.5,RRT* replan,0,1,1,155,10,0.42836,61788,108.5
22,0.5,Modified plan once,0,0,1,50,0,0.01303,342,35.0
22,0.5,Modified replan,0,0,1,52,4,0.73322,42100,36.4
22,1.0,APF reactive,1,1,0,124,0,0.01412,372,86.8
22,1.0,RRT* plan once,1,1,0,125,0,0.06167,9066,87.5
22,1.0,RRT* replan,0,1,1,129,9,0.31253,46383,90.3
22,1.0,Modified plan once,0,0,1,56,0,0.01302,342,39.2
22,1.0,Modified replan,0,0,1,60,8,0.82352,58722,42.0
22,1.5,APF reactive,1,1,0,115,0,0.01334,345,80.5
22,1.5,RRT* plan once,0,0,1,52,0,0.0615,9066,36.4
22,1.5,RRT* replan,0,1,1,154,12,0.44491,65160,107.8
22,1.5,Modified plan once,0,0,1,57,0,0.01313,342,39.9
22,1.5,Modified replan,1,1,0,114,6,0.13528,5901,79.8
23,0.5,APF reactive,1,1,0,114,0,0.01334,342,79.8
23,0.5,RRT* plan once,1,1,0,116,0,0.07118,10772,81.2
23,0.5,RRT* replan,1,1,0,115,0,0.03659,5398,80.5
23,0.5,Modified plan once,1,1,0,114,0,0.01375,342,79.8
23,0.5,Modified replan,1,1,0,114,0,0.01334,342,79.8
23,1.0,APF reactive,0,0,0,76,0,0.00972,230,53.2
23,1.0,RRT* plan once,0,0,1,56,0,0.07124,10772,39.2
23,1.0,RRT* replan,0,1,1,142,11,0.44593,66799,99.4
23,1.0,Modified plan once,0,0,1,57,0,0.01341,342,39.9
23,1.0,Modified replan,0,0,1,61,9,0.74196,46954,42.7
23,1.5,APF reactive,1,1,0,128,0,0.01494,384,89.6
23,1.5,RRT* plan once,0,0,1,56,0,0.07203,10772,39.2
23,1.5,RRT* replan,0,1,1,164,14,0.58039,85737,114.8
23,1.5,Modified plan once,0,0,1,55,0,0.01347,342,38.5
23,1.5,Modified replan,0,0,1,60,6,0.7681,49895,42.0
24,0.5,APF reactive,1,1,0,114,0,0.0131,342,79.8
24,0.5,RRT* plan once,0,0,1,60,0,0.04348,6378,42.0
24,0.5,RRT* replan,1,1,0,120,1,0.10708,14032,84.0
24,0.5,Modified plan once,1,1,0,114,0,0.01362,342,79.8
24,0.5,Modified replan,1,1,0,115,2,0.03661,808,80.5
24,1.0,APF reactive,1,1,0,117,0,0.01344,351,81.9
24,1.0,RRT* plan once,1,1,0,122,0,0.04374,6378,85.4
24,1.0,RRT* replan,1,1,0,118,3,0.14037,21048,82.6
24,1.0,Modified plan once,0,0,1,53,0,0.01293,342,37.1
24,1.0,Modified replan,0,1,1,115,4,0.11048,5688,80.5
24,1.5,APF reactive,1,1,0,114,0,0.01305,342,79.8
24,1.5,RRT* plan once,0,0,1,59,0,0.04324,6378,41.3
24,1.5,RRT* replan,1,1,0,119,6,0.25402,37829,83.3
24,1.5,Modified plan once,1,1,0,114,0,0.01316,342,79.8
24,1.5,Modified replan,1,1,0,116,6,0.08284,2333,81.2
25,0.5,APF reactive,0,0,0,1500,0,0.21323,4500,1050.0
25,0.5,RRT* plan once,1,1,0,122,0,0.05014,7048,85.4
25,0.5,RRT* replan,1,1,0,121,2,0.10909,15719,84.7
25,0.5,Modified plan once,0,0,1,83,0,0.04264,1911,58.1
25,0.5,Modified replan,1,1,0,118,4,0.06844,1759,82.6
25,1.0,APF reactive,0,0,0,1500,0,0.2143,4500,1050.0
25,1.0,RRT* plan once,0,0,1,54,0,0.04999,7048,37.8
25,1.0,RRT* replan,1,1,0,130,3,0.16966,24028,91.0
25,1.0,Modified plan once,0,0,1,68,0,0.0424,1911,47.6
25,1.0,Modified replan,0,1,1,119,7,0.14527,4885,83.3
25,1.5,APF reactive,0,0,0,1500,0,0.21394,4500,1050.0
25,1.5,RRT* plan once,1,1,0,122,0,0.05011,7048,85.4
25,1.5,RRT* replan,0,1,1,130,13,0.46645,68345,91.0
25,1.5,Modified plan once,0,0,1,68,0,0.04299,1911,47.6
25,1.5,Modified replan,1,1,0,118,6,0.11183,3960,82.6
26,0.5,APF reactive,1,1,0,121,0,0.01458,363,84.7
26,0.5,RRT* plan once,1,1,0,120,0,0.0418,6029,84.0
26,0.5,RRT* replan,1,1,0,134,1,0.06639,9510,93.8
26,0.5,Modified plan once,0,0,1,58,0,0.01342,342,40.6
26,0.5,Modified replan,1,1,0,126,2,0.0819,4089,88.2
26,1.0,APF reactive,0,0,1,48,0,0.00665,144,33.6
26,1.0,RRT* plan once,1,1,0,120,0,0.04089,6029,84.0
26,1.0,RRT* replan,0,1,1,139,13,0.46538,69448,97.3
26,1.0,Modified plan once,0,0,1,46,0,0.01357,342,32.2
26,1.0,Modified replan,0,1,1,115,9,0.20738,12011,80.5
